Point_Index,VER_Speed,NOR_Speed,VER_RPM,NOR_RPM,VER_Throttle,NOR_Throttle,VER_Brake,NOR_Brake,VER_nGear,NOR_nGear,Speed_Gap_kmh,Speed_Leader
70,214.55415786666666,232.87500342857143,10267.3996544,11513.150158628572,0.4041674666666667,0.0,True,True,6,6,-18.320845561904775,NOR
71,208.0,224.30357485714285,10010.0,11116.578730057143,1.0,0.0,True,True,5,6,-16.30357485714285,NOR
72,206.33500288,222.0,9946.54510976,11010.0,1.0,0.0,True,True,5,5,-15.66499712000001,NOR
73,199.0,204.27000576,9667.0,11360.65988608,1.0,0.0,True,True,5,5,-5.270005760000004,NOR
74,195.47083626666668,204.0,9567.541749333333,11366.0,1.0,0.0,True,True,5,5,-8.52916373333332,NOR
75,188.0,192.8625024,9357.0,11261.1218976,1.0,0.0,True,True,5,5,-4.862502400000011,NOR
76,182.9535734857143,192.0,9087.296538514285,11253.0,2.121428114285714,0.0,True,True,5,4,-9.046426514285713,NOR
77,179.0,187.31944533333333,8876.0,10925.361173333333,3.0,0.0,False,True,5,4,-8.319445333333334,NOR
78,177.2678537142857,187.0,8790.085544228572,10903.0,3.0,0.0,False,False,5,4,-9.732146285714293,NOR
79,174.05357257142856,181.66500352,8630.657199542857,10690.57014016,3.0,1.45499904,False,False,5,4,-7.611430948571439,NOR
80,174.0,176.0,8628.0,10465.0,3.0,3.0,False,False,5,4,-2.0,NOR
81,170.6,173.26000128,8503.333333333334,10251.28009984,6.966666666666667,3.0,False,False,5,4,-2.6600012800000172,NOR
82,168.0,172.0,8408.0,10153.0,10.0,3.0,False,False,5,4,-4.0,NOR
83,167.15,171.0,8476.85,10387.0,32.525,26.0,False,False,5,4,-3.8499999999999943,NOR
84,166.025,171.0,8567.975,10413.464256,62.3375,34.9571328,False,False,5,4,-4.974999999999994,NOR
85,166.0,171.0,8570.0,10506.785773714286,63.0,66.54287725714286,False,False,5,4,-5.0,NOR
86,168.30640627406686,171.0,8769.88854375246,10517.0,68.38161463948931,70.0,False,False,5,4,-2.693593725933141,NOR
