Point_Index,VER_X,VER_Y,NOR_X,NOR_Y,Euclidean_Distance_m,VER_Track_Distance,NOR_Track_Distance,Track_Distance_Gap_m,VER_Speed,NOR_Speed,Distance_Leader
307,-6189.0,97.0,-6107.500180316137,-320.64411083504297,425.5218254375395,2691.4227819945004,2646.350833333334,45.071948661166516,253.96785645714286,243.0,VER
308,-6189.3764452140285,99.15124218990059,-6128.7964463400185,-217.06400427421377,321.96586520924177,2691.6363888888886,2660.0730555555556,31.56333333333305,254.0,247.0,VER
309,-6216.0,266.0,-6145.0,-134.0,406.252384608386,2708.6212670093078,2673.741269448302,34.879997561005894,257.94999893333335,249.4624992,VER
310,-6216.285740370242,268.1161987612127,-6150.233872082376,-107.76300327128841,381.6386036879751,2708.836388888889,2676.7397222222226,32.09666666666635,258.0,250.0,VER
311,-6229.368185438859,381.7002785472622,-6164.0,-38.0,424.7603129768817,2720.303055555555,2683.520145544267,36.782910011288095,258.0,250.97000192,VER
312,-6234.0,449.0,-6180.8978539592445,51.895754818817366,400.6390138953651,2727.278117092834,2690.7397222222226,36.53839487061123,258.40416746666665,252.0,VER
313,-6234.616029193764,545.7068250731827,-6203.0,182.0,365.0783859759376,2737.569722222222,2700.3652472031004,37.20447501912167,259.0,252.68500096,VER
314,-6231.0,590.0,-6228.360638185403,404.39947408987206,185.61929169379033,2741.659848485276,2718.9619444444447,22.697904040831418,258.6437488,254.0,VER
315,-6217.3597999413305,683.9186155465742,-6235.0,502.0,182.77187787100112,2749.036388888889,2730.1817338228357,18.85465506605351,258.0,255.1804504572711,VER
316,-6198.0,787.0,-6233.092798725665,596.5981748673468,193.60877959494883,2757.402000938792,2747.4461111111113,9.955889827680494,257.41500032,257.0,VER
317,-6187.0108949410715,839.4947615353258,-6225.0,642.0,201.1152727593643,2763.3141666666666,2752.859589725873,10.454576940793686,257.0,255.46000128,VER
318,-6161.457661538858,921.6112421887831,-6157.0,925.0,5.59950229021256,2777.2586111111113,2774.909735081875,2.3488760292361803,251.0,249.06000128,VER
319,-6131.0,996.0,-6156.451495834393,926.9411610866961,73.59960510941487,2783.511113030062,2775.112777777778,8.398335252284141,240.89581333333334,249.0,VER
320,-6067.0,1146.0,-6128.089939561802,1007.5145356906478,151.3611725002203,2792.1402220457044,2788.3350000000005,3.8052220457038857,226.31250666666668,238.0,VER
321,-6065.744528016868,1148.8849512543939,-6115.0,1037.0,122.24706064965007,2792.325277777778,2793.069560131126,-0.7442823533478986,226.0,230.5406312,NOR
322,-6007.325624148791,1276.461968729915,-6055.918953294483,1167.588415903608,119.22567736223714,2804.436388888889,2806.7350000000006,-2.298611111111768,218.0,207.0,NOR
323,-5974.0,1339.0,-6047.0,1187.0,168.62087652482418,2816.5481708654625,2808.7013332514216,7.846837614040851,192.32500693333333,203.3000064,VER
324,-5958.213539977491,1370.6180937919676,-6012.0,1262.0,121.20591396773368,2822.336388888889,2816.970092378907,5.366296509982021,179.0,187.3000064,VER
325,-5933.400383572849,1424.436007623607,-6011.382734035836,1263.302518310221,179.01186653973295,2831.3919444444446,2817.1238888888893,14.268055555555293,163.0,187.0,VER
