Point_Index,VER_Speed,NOR_Speed,Speed_Gap_kmh,Speed_Gap_Advantage,VER_Distance,NOR_Distance,Distance_Difference,VER_RPM,NOR_RPM,VER_nGear,NOR_nGear,VER_Throttle,NOR_Throttle,VER_Brake,NOR_Brake,VER_DRS,NOR_DRS
16,296.14166826666667,294.7909085090909,1.3507597575757586,VER,181.5399148522174,157.021218631412,24.518696220805396,11247.177218844445,10618.141065309092,7,7,100.0,99.0,False,False,0,0
17,297.64166613333333,295.0,2.641666133333331,VER,196.46457474092767,158.915,37.54957474092768,10723.177964088889,10562.0,7,7,100.0,99.0,False,False,0,0
18,298.0,296.54999954285717,1.4500004571428349,VER,200.02999999999997,176.80690094319453,23.223099056805438,10598.0,10477.525024914286,7,7,100.0,99.77499977142857,False,False,0,0
19,298.44250048,297.0,1.4425004799999783,VER,214.70335865224095,182.015,32.688358652240964,10642.250048,10453.0,7,8,100.0,100.0,False,False,0,0
20,299.0,297.2312496,1.7687503999999876,VER,233.2522222222222,185.07722678373912,48.17499543848308,10698.0,10463.406232,8,8,100.0,99.8843752,False,False,0,0
21,300.2843768,298.3562496,1.9281272000000058,VER,244.72833031316998,200.01260589865456,44.71572441451542,10688.1531112,10514.031232,8,8,100.0,99.3218752,False,False,0,0
22,302.0,299.0,3.0,VER,260.09666666666664,208.59277777777774,51.503888888888895,10675.0,10543.0,8,8,100.0,99.0,False,False,0,0
23,302.0,300.4624992,1.5375007999999752,VER,264.87576235349,218.37064365291045,46.50511870057957,10685.687536,10578.8312304,8,8,100.0,99.0,False,False,0,0
24,302.0,301.0,1.0,VER,273.51888888888885,221.97055555555553,51.54833333333332,10705.0,10592.0,8,8,100.0,99.0,False,False,0,0
25,302.76999936,302.0,0.7699993599999857,VER,280.0079438623515,235.39277777777778,44.61516608457373,10733.48997632,10629.0,8,8,100.0,99.0,False,False,0,0
26,304.0,302.8722218666667,1.1277781333333223,VER,290.4077777777777,248.62025194463575,41.787525833141956,10779.0,10650.369435733333,8,8,100.0,99.0,False,False,0,0
27,304.90416746666665,304.0,0.9041674666666495,VER,308.789272518003,265.79277777777776,42.996494740225216,10845.908392533333,10678.0,8,8,100.0,99.0,False,False,0,0
28,305.0,304.58499968,0.4150003199999901,VER,310.7411111111111,275.71424226220915,35.02686884890193,10853.0,10705.49498496,8,8,100.0,99.0,False,False,0,0
29,306.0,305.38499968,0.6150003199999787,VER,324.3411111111111,289.3115216411948,35.02958946991629,10882.0,10743.09498496,8,8,100.0,99.0,False,False,0,0
30,306.55,306.0,0.5500000000000114,VER,339.3447861891334,299.79277777777776,39.552008411355644,10903.45,10772.0,8,8,100.0,99.0,False,False,0,0
31,307.0,307.3562496,-0.3562496000000124,NOR,351.63,318.3451814902402,33.284818509759816,10921.0,10797.7687424,8,8,100.0,99.0,False,False,0,0
32,307.0,308.0,-1.0,NOR,356.4048818385923,327.17055555555555,29.23432628303675,10917.5,10810.0,8,8,100.0,99.0,False,False,0,0
33,307.0,308.4041664,-1.4041664000000083,NOR,372.0966666666667,335.49030844729225,36.60635821937444,10906.0,10822.9333248,8,8,100.0,99.0,False,False,0,0
34,307.15062757472737,308.5708330666667,-1.4202054919393277,NOR,375.17158086732724,338.92353481737666,36.248046049950574,10909.91631694291,10828.266658133334,8,8,100.0,99.0,False,False,0,0
35,308.0,309.0,-1.0,NOR,392.5444444444445,347.7705555555556,44.773888888888905,10932.0,10842.0,8,8,100.0,99.0,False,False,0,0
36,308.7312496,309.5863639272727,-0.8551143272727018,NOR,402.58326512973946,369.9716248381769,32.61164029156254,10968.56248,10877.768199563636,8,8,100.0,99.0,False,False,0,0
