Point_Index,VER_X,VER_Y,NOR_X,NOR_Y,Euclidean_Distance_m,VER_Track_Distance,NOR_Track_Distance,Track_Distance_Gap_m,Distance_Leader,VER_Speed,NOR_Speed
460,-13102.0,3111.0,-13146.826652514805,3101.9163084772117,45.737754944511856,3854.3899463478647,3854.393611111111,0.003664763246433722,NOR,212.0,202.0
461,-13137.71244269079,3104.4445977821715,-13176.0,3096.0,39.20775786000355,3858.1022222222214,3857.5299087122385,0.5723135099829051,VER,212.0,200.218744
462,-13205.0,3089.0,-13223.103332175777,3085.6119772542033,18.417636493115822,3864.9973214296233,3863.1491666666666,1.8481547629567103,VER,210.9031256,197.0
463,-13332.088752732345,3050.263947028458,-13332.0,3051.0,0.7413845320847123,3876.6799999999994,3875.8063168298117,0.8736831701876326,VER,209.0,193.0502102627052
464,-13373.0,3036.0,-13333.789156021603,3050.290735549503,41.73386404401131,3880.881432342324,3875.9622222222224,4.919210120101525,VER,203.77500434285713,193.0
465,-13446.69665044659,3005.549431377498,-13490.0,2981.0,49.77805403491804,3891.4577777777768,3887.7785549503824,3.6792228273943692,VER,190.0,184.38182050909091
466,-13486.0,2984.0,-13564.580629908512,2939.036504847246,90.53524889881484,3897.367537462028,3897.5955555555556,0.22801809352768032,NOR,185.9781272,177.0
467,-13568.959213924694,2930.239946677158,-13610.194214720155,2896.887210093286,53.035180099956676,3907.368888888888,3907.373333333333,0.0044444444451983145,NOR,179.0,176.0
468,-13591.0,2913.0,-13615.0,2892.0,31.89043743820395,3910.1343621376163,3908.209497482434,1.9248646551823185,VER,177.7531208,176.0
469,-13669.0,2833.0,-13659.876509857166,2843.5841187265164,13.973605175594072,3921.5779407890864,3915.1955555555555,6.38238523353084,VER,172.5031208,176.0
470,-13675.966435337543,2824.4199556772846,-13671.0,2830.0,7.470098701186115,3922.6577777777766,3916.9424995703675,5.715278207409028,VER,172.0,174.3041696
471,-13681.0,2818.0,-13717.0,2761.0,67.4166151627327,3923.4540479127477,3925.1449114912393,1.6908635784916441,NOR,171.468744,166.0541696
472,-13717.125445776259,2762.346944250986,-13722.104834792935,2751.760763327916,11.698783762228098,3930.079999999999,3926.1955555555555,3.8844444444434885,VER,167.0,165.0
473,-13737.0,2723.0,-13753.111411158096,2685.0555394172147,41.223290242577065,3934.48248851893,3933.5288888888886,0.9535996300414809,VER,164.5749952,165.0
474,-13755.1350025518,2679.8624885104155,-13762.0,2661.0,20.072908677352714,3939.079999999999,3936.0707710100214,3.0092289899776006,VER,162.0,163.1678592
475,-13781.0,2595.0,-13781.0,2594.0,1.0,3947.6739725432503,3942.9766860628333,4.697286480417006,VER,159.04500096,158.02500205714284
476,-13793.0,2526.0,-13786.676406216895,2568.3903242690803,42.859391385920375,3954.558258016673,3945.6622222222218,8.896035794451109,VER,156.64500096,156.0
477,-13794.816751248405,2507.377427327102,-13794.0,2517.0,9.657172849596087,3956.4133333333325,3950.626041276395,5.787292056937531,VER,156.0,155.02500053333333
478,-13796.0,2422.0,-13793.0,2381.0,41.10960958218893,3964.9387422309837,3960.832836087168,4.105906143815901,VER,156.0,153.02500053333333
479,-13789.19557759671,2352.2961638671522,-13792.90697452693,2379.5654847637334,27.520725450728133,3972.0133333333324,3960.962222222222,11.051111111110458,VER,156.0,153.0
480,-13788.0,2345.0,-13769.0,2261.0,86.12200647918046,3972.7517030821928,3976.6805517142093,3.928848632016525,NOR,156.06071497142858,157.86818094545455
481,-13773.0,2277.0,-13758.0116161091,2226.9836782352663,52.21383049091867,3979.708415213526,3980.3955555555553,0.6871403420291244,NOR,156.63214354285714,159.0
482,-13762.676418886269,2237.1524179190733,-13737.0,2166.0,75.64353946341757,3984.2244444444436,3986.6137007403795,2.3892562959358656,NOR,157.0,161.76000256
483,-13747.0,2192.0,-13727.801787446893,2141.113199812564,54.38784605544071,3988.5176705408976,3989.451111111111,0.9334405702134063,NOR,158.45500288,163.0
484,-13718.029030498543,2124.914829418278,-13688.0,2056.0,75.17310946364228,3993.1133333333323,3998.7617222685917,5.648388935259391,NOR,160.0,168.77499626666668
485,-13676.0,2035.0,-13673.5069607847,2031.0451221341725,4.675072562285663,3999.2757494725697,4000.7844444444445,1.5086949718747746,NOR,161.7125024,170.0
486,-13657.138759802172,1995.2495847067564,-13601.0,1917.0,96.3045059117475,4003.979999999999,4009.5402188706084,5.560218870609333,NOR,163.0,174.88279730797763
487,-13617.0,1939.0,-13552.295499734006,1854.7726115662742,106.21170047145358,4017.0066805146207,4020.9458333333337,3.939152818712955,NOR,169.21,181.0
488,-13567.677513507657,1881.0390024290432,-13530.0,1831.0,62.637822345715804,4023.09111111111,4027.133588372663,4.042477261552904,NOR,172.0,185.09499776
489,-13460.0,1757.0,-13431.224960048676,1726.6309185718565,41.836396008613384,4035.0873355919425,4042.6124999999997,7.525164408057208,NOR,180.85,195.0
490,-13439.775853467825,1734.0801484734143,-13420.0,1716.0,26.795076958306982,4039.4466666666654,4043.5605084523168,4.1138417856514025,NOR,184.0,195.531256
491,-13384.0,1682.0,-13313.0,1618.0,95.58765610684259,4051.890705499503,4051.442813427042,0.4478920724609452,VER,189.1625,199.906248
492,-13331.158193054962,1635.6228271315267,-13253.723664765603,1565.6581138395957,104.3607554467563,4056.4244444444425,4060.8347222222224,4.410277777779811,NOR,191.0,205.0
493,-13251.0,1566.0,-13214.0,1536.0,47.634021455258214,4062.7984735779146,4071.3463149925374,8.54784141462278,NOR,196.8,210.4083392
494,-13228.206800733886,1546.5321669837367,-13110.2505738881,1456.757592720547,148.23341605667605,4065.2688888888874,4082.4347222222223,17.16583333333483,NOR,199.0,216.0
495,-13133.0,1473.0,-12991.0,1366.0,177.80044994318772,4085.04122746114,4094.525294860467,9.48406739932716,NOR,211.13333333333333,220.9249984
496,-13123.29850270627,1465.7564246273635,-12989.671148918176,1365.0023901578525,167.35484797964978,4086.4688888888872,4094.7125,8.243611111112841,NOR,212.0,221.0
497,-13037.0,1401.0,-12909.0,1306.0,159.40200751558933,4096.9328573831135,4109.857792084563,12.924934701449274,NOR,214.2092044293344,227.51749824
498,-13006.243229755753,1377.9515730677163,-12821.359329661002,1242.4576278087493,229.21750743799245,4100.742499999998,4120.490277777777,19.747777777779447,NOR,215.0,232.0
499,-12958.0,1342.0,-12701.0,1156.0,317.2459613612126,4106.714448198408,4133.456902166,26.742453967592155,NOR,219.84999679999999,236.9249984
500,-12923.720220354213,1316.6907005625535,-12699.404021568065,1154.871738750742,276.5919981483901,4110.653611111109,4133.656944444444,23.003333333334922,NOR,223.0,237.0
501,-12803.858054919345,1229.286924012085,-12563.0,1061.0,293.8249332731641,4123.431388888886,4153.89503071646,30.463641827573156,NOR,230.0,244.4250048
502,-12752.0,1192.0,-12531.690024553234,1039.7431043117328,267.8033748218689,4129.823993830779,4158.256944444444,28.432950613665525,NOR,232.4500032,246.0
503,-12675.798403010904,1138.324200757367,-12460.0,992.0,260.7292129189567,4141.86472222222,4166.400217441972,24.535495219752192,NOR,237.0,248.5071414857143
