Point_Index,HAM_Speed,RUS_Speed,HAM_RPM,RUS_RPM,HAM_Throttle,RUS_Throttle,HAM_Brake,RUS_Brake,HAM_nGear,RUS_nGear,Speed_Gap_kmh,Speed_Leader
186,260.0,252.11428571428573,10829.0,10264.971428571429,100.0,100.0,False,False,7,7,7.885714285714272,HAM
187,260.8437488,254.4,10849.2499712,10464.4,100.0,100.0,False,False,7,7,6.443748800000009,HAM
188,265.3437488,256.0,10957.2499712,10604.0,100.0,100.0,False,False,7,7,9.343748800000014,HAM
189,266.0,258.4735389273523,10973.0,10670.37329455062,100.0,100.0,False,False,7,7,7.526461072647692,HAM
190,269.0,261.14763506503044,11077.0,10742.128207578317,100.0,100.0,False,False,7,7,7.8523649349695575,HAM
191,269.0624992,262.0,11079.8749632,10765.0,100.0,100.0,False,False,7,7,7.062499199999991,HAM
192,271.0,262.74642925714284,11169.0,10882.935822628571,100.0,100.0,False,False,7,7,8.253570742857164,HAM
193,271.7083328,263.0,11214.6874656,10923.0,100.0,100.0,False,False,7,7,8.708332799999994,HAM
194,272.7083328,266.7187528,11279.1874656,11025.5313272,100.0,100.0,False,False,7,7,5.9895799999999895,HAM
195,273.0,270.0,11298.0,11116.0,100.0,100.0,False,False,7,7,3.0,HAM
196,275.5624992,270.49000192,11325.3333248,11125.55503744,100.0,100.0,False,False,7,7,5.072497279999993,HAM
197,276.0,271.89000192,11330.0,11152.85503744,100.0,100.0,False,False,7,7,4.109998080000025,HAM
198,276.0,272.0,11446.0,11155.0,100.0,100.0,False,False,7,7,4.0,HAM
199,277.28,273.4166677333333,11468.4,11204.583370666667,100.0,100.0,False,False,7,7,3.863332266666646,HAM
200,280.0,274.0,11516.0,11225.0,100.0,100.0,False,False,7,7,6.0,HAM
201,281.8492456364235,274.7916672,11592.743693911576,11346.1250816,100.0,100.0,False,False,7,7,7.057578436423512,HAM
202,282.0,275.0,11599.0,11378.0,100.0,100.0,False,False,7,7,7.0,HAM
203,282.0,277.3625024,11606.0,11408.24003072,100.0,100.0,False,False,7,7,4.637497600000017,HAM
204,283.3214281142857,280.0,10993.51806902857,11442.0,100.0,100.0,False,False,7,7,3.321428114285709,HAM
205,284.0,281.05555626666666,10679.0,11522.7500544,100.0,100.0,False,False,7,7,2.944443733333344,HAM
