2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 賽道區段: 0
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 距離數據點: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 車手1 RPM數據點: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 車手2 RPM數據點: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 🕒 車手1 時間數據點: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 🕒 車手2 時間數據點: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 🔢 提取圈數: lap1=1, lap2=1
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 車手名稱更新: ALB vs ALB
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 🎯 使用單車手模式顯示
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 📊 更新圖表...
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] ✅ 圖表更新完成
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 📋 更新統計表格...
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 📊 統計表格更新 - 收到statistics: {'driver1': {'max': 12268.640434763927, 'min': 5301.976218398102, 'avg': 9840.777421674296, 'count': 500}, 'driver2': {'max': 12268.640434763927, 'min': 5301.976218398102, 'avg': 9840.777421674296, 'count': 500}, 'distance': {'min': -0.011575729971559466, 'max': 5317.810040165993, 'total_points': 500}}
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] driver1_stats: {}
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] driver2_stats: {}
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] comparison: {}
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 表格數據行: [('最高轉速 (rpm)', '0', '0', '0'), ('平均轉速 (rpm)', '0', '0', '0'), ('最低轉速 (rpm)', '0', '0', '0')]
2025-10-22 23:42:05 | INFO | f1.console | [RPM CHART WIDGET] ✅ 統計表格更新完成
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 📋 更新狀態資訊...
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] ✅ 全部更新完成
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] ✅ 步驟5: data_loaded 信號已發送
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] ========== _handle_api_success 完成 ==========
2025-10-22 23:42:05 | INFO | f1.console | [RPM_LOADER] 🏁 API Worker 執行緒已完成
2025-10-22 23:42:05 | INFO | f1.console | [STATUS] 狀態變更: API 車手進站詳細分析回應解析中...
2025-10-22 23:42:05 | INFO | f1.console | [STATUS] 狀態變更: API 車手進站詳細分析資料載入完成
2025-10-22 23:42:05 | INFO | f1.console | [INFO] [VALIDATE] 檢測到新格式車手詳細數據
2025-10-22 23:42:05 | INFO | f1.console | [OK] [VALIDATE] 車手詳細數據驗證通過，記錄數量：17
2025-10-22 23:42:05 | INFO | f1.console | [OK] 車手詳細數據載入完成
2025-10-22 23:42:05 | INFO | f1.console | [STATUS] 狀態變更: API 車手進站詳細分析任務結束
2025-10-22 23:42:05 | INFO | f1.console | [AccidentStatisticsWidget] 開始更新數據 (簡化設計)
2025-10-22 23:42:05 | INFO | f1.console | [AccidentStatisticsWidget] 統計表格更新: Track Limit=8, 雙黃旗=14, 黃旗=7, 紅旗=0
2025-10-22 23:42:05 | INFO | f1.console | [AccidentStatisticsWidget] 數據更新完成 (簡化設計)
2025-10-22 23:42:05 | INFO | f1.console | [AccidentStatisticsWidget] 開始更新數據 (簡化設計)
2025-10-22 23:42:05 | INFO | f1.console | [AccidentStatisticsWidget] 統計表格更新: Track Limit=8, 雙黃旗=14, 黃旗=7, 紅旗=0
2025-10-22 23:42:05 | INFO | f1.console | [AccidentStatisticsWidget] 數據更新完成 (簡化設計)
2025-10-22 23:42:05 | INFO | f1.console | [OK] [VALIDATE] AccidentDetailedListWidget: 數據格式驗證通過，匹配路徑: data -> all_incidents
2025-10-22 23:42:05 | INFO | f1.console | [OK] [VALIDATE] AccidentDetailedListWidget: 數據格式驗證通過，匹配路徑: data -> all_incidents
2025-10-22 23:42:05 | INFO | f1.console | [[TIRE_ANALYSIS] DEBUG] 使用 drivers_analysis 格式 (CLI -f26 v2)
2025-10-22 23:42:05 | INFO | f1.console | [[TIRE_ANALYSIS] DEBUG] 使用 overall_statistics 作為摘要數據
