2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ?? 瑼Ｘ葫?圈?撅文?憟?瑽?(CLI JSON)
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ?? 頛 21 雿???
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ?? Metadata: season_year=2025, round=19
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ?? 頧?敺?? 21 雿??? 撟港遢=2025, 頛芣活=19
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ?豢?頛摰?
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_WIDGET] ? ?交?啁??豢? keys: ['standings', 'season_year', 'round', 'metadata']
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_WIDGET] ? season_year=2025, round=19
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_WIDGET] ? standings ?賊?: 21
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_WIDGET] ?? 閫??敺? season_year=2025, round=19
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_WIDGET] ?? 璅?撌脰身蝵? Driver Standings - 2025 Round 19
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_WIDGET] 憿蝟餌絞撌脰???(year=2025)
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_WIDGET] Table populated (21 drivers)
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ?? API ?脣漲: 100%
2025-10-23 08:33:45 | INFO | f1.console | [TAB] ??瑼Ｘ璅惜甈???..
2025-10-23 08:33:45 | INFO | f1.console | [TAB] QTabBar ?航??? True
2025-10-23 08:33:45 | INFO | f1.console | [TAB] QTabBar 擃漲: 29
2025-10-23 08:33:45 | INFO | f1.console | [TAB] ??璅惜甈歇?
2025-10-23 08:33:45 | WARNING | f1.console | [API_WORKER] ?? 瑼Ｘ葫?圈?撅文?憟????批惜 data
2025-10-23 08:33:45 | INFO | f1.console | [WEATHER_MDI] API progress: 70%
2025-10-23 08:33:45 | INFO | f1.console | [API_WORKER] ??Success in 1100ms
2025-10-23 08:33:45 | INFO | f1.console | [WEATHER_MDI] API progress: 100%
